model,scenario,variant,table_id,variable,grid_type,version,n_files,filenames
E3SM-1-0,historical,r1i1p1f1,Amon,ts,gr,v20190913,7.0,"['ts_Amon_E3SM-1-0_historical_r1i1p1f1_gr_185001-187412.nc', 'ts_Amon_E3SM-1-0_historical_r1i1p1f1_gr_187501-189912.nc', 'ts_Amon_E3SM-1-0_historical_r1i1p1f1_gr_190001-192412.nc', 'ts_Amon_E3SM-1-0_historical_r1i1p1f1_gr_192501-194912.nc', 'ts_Amon_E3SM-1-0_historical_r1i1p1f1_gr_195001-197412.nc', 'ts_Amon_E3SM-1-0_historical_r1i1p1f1_gr_197501-199912.nc', 'ts_Amon_E3SM-1-0_historical_r1i1p1f1_gr_200001-201412.nc']"
E3SM-1-0,historical,r2i1p1f1,Amon,ts,gr,v20190729,7.0,"['ts_Amon_E3SM-1-0_historical_r2i1p1f1_gr_185001-187412.nc', 'ts_Amon_E3SM-1-0_historical_r2i1p1f1_gr_187501-189912.nc', 'ts_Amon_E3SM-1-0_historical_r2i1p1f1_gr_190001-192412.nc', 'ts_Amon_E3SM-1-0_historical_r2i1p1f1_gr_192501-194912.nc', 'ts_Amon_E3SM-1-0_historical_r2i1p1f1_gr_195001-197412.nc', 'ts_Amon_E3SM-1-0_historical_r2i1p1f1_gr_197501-199912.nc', 'ts_Amon_E3SM-1-0_historical_r2i1p1f1_gr_200001-201412.nc']"
E3SM-1-0,historical,r3i1p1f1,Amon,ts,gr,v20190729,7.0,"['ts_Amon_E3SM-1-0_historical_r3i1p1f1_gr_185001-187412.nc', 'ts_Amon_E3SM-1-0_historical_r3i1p1f1_gr_187501-189912.nc', 'ts_Amon_E3SM-1-0_historical_r3i1p1f1_gr_190001-192412.nc', 'ts_Amon_E3SM-1-0_historical_r3i1p1f1_gr_192501-194912.nc', 'ts_Amon_E3SM-1-0_historical_r3i1p1f1_gr_195001-197412.nc', 'ts_Amon_E3SM-1-0_historical_r3i1p1f1_gr_197501-199912.nc', 'ts_Amon_E3SM-1-0_historical_r3i1p1f1_gr_200001-201412.nc']"
E3SM-1-0,historical,r4i1p1f1,Amon,ts,gr,v20190916,7.0,"['ts_Amon_E3SM-1-0_historical_r4i1p1f1_gr_185001-187412.nc', 'ts_Amon_E3SM-1-0_historical_r4i1p1f1_gr_187501-189912.nc', 'ts_Amon_E3SM-1-0_historical_r4i1p1f1_gr_190001-192412.nc', 'ts_Amon_E3SM-1-0_historical_r4i1p1f1_gr_192501-194912.nc', 'ts_Amon_E3SM-1-0_historical_r4i1p1f1_gr_195001-197412.nc', 'ts_Amon_E3SM-1-0_historical_r4i1p1f1_gr_197501-199912.nc', 'ts_Amon_E3SM-1-0_historical_r4i1p1f1_gr_200001-201412.nc']"
E3SM-1-0,historical,r5i1p1f1,Amon,ts,gr,v20190731,7.0,"['ts_Amon_E3SM-1-0_historical_r5i1p1f1_gr_185001-187412.nc', 'ts_Amon_E3SM-1-0_historical_r5i1p1f1_gr_187501-189912.nc', 'ts_Amon_E3SM-1-0_historical_r5i1p1f1_gr_190001-192412.nc', 'ts_Amon_E3SM-1-0_historical_r5i1p1f1_gr_192501-194912.nc', 'ts_Amon_E3SM-1-0_historical_r5i1p1f1_gr_195001-197412.nc', 'ts_Amon_E3SM-1-0_historical_r5i1p1f1_gr_197501-199912.nc', 'ts_Amon_E3SM-1-0_historical_r5i1p1f1_gr_200001-201412.nc']"
E3SM-1-0,historical,r1i1p1f1,day,ts,,,,
E3SM-1-0,historical,r2i1p1f1,day,ts,,,,
E3SM-1-0,historical,r3i1p1f1,day,ts,,,,
E3SM-1-0,historical,r4i1p1f1,day,ts,,,,
E3SM-1-0,historical,r5i1p1f1,day,ts,,,,
E3SM-1-0,historical,r1i1p1f1,Amon,tasmax,,,,
E3SM-1-0,historical,r2i1p1f1,Amon,tasmax,,,,
E3SM-1-0,historical,r3i1p1f1,Amon,tasmax,,,,
E3SM-1-0,historical,r4i1p1f1,Amon,tasmax,,,,
E3SM-1-0,historical,r5i1p1f1,Amon,tasmax,,,,
E3SM-1-0,historical,r1i1p1f1,day,tasmax,gr,v20210908,17.0,"['tasmax_day_E3SM-1-0_historical_r1i1p1f1_gr_18500101-18591231.nc', 'tasmax_day_E3SM-1-0_historical_r1i1p1f1_gr_18600101-18691231.nc', 'tasmax_day_E3SM-1-0_historical_r1i1p1f1_gr_18700101-18791231.nc', 'tasmax_day_E3SM-1-0_historical_r1i1p1f1_gr_18800101-18891231.nc', 'tasmax_day_E3SM-1-0_historical_r1i1p1f1_gr_18900101-18991231.nc', 'tasmax_day_E3SM-1-0_historical_r1i1p1f1_gr_19000101-19091231.nc', 'tasmax_day_E3SM-1-0_historical_r1i1p1f1_gr_19100101-19191231.nc', 'tasmax_day_E3SM-1-0_historical_r1i1p1f1_gr_19200101-19291231.nc', 'tasmax_day_E3SM-1-0_historical_r1i1p1f1_gr_19300101-19391231.nc', 'tasmax_day_E3SM-1-0_historical_r1i1p1f1_gr_19400101-19491231.nc', 'tasmax_day_E3SM-1-0_historical_r1i1p1f1_gr_19500101-19591231.nc', 'tasmax_day_E3SM-1-0_historical_r1i1p1f1_gr_19600101-19691231.nc', 'tasmax_day_E3SM-1-0_historical_r1i1p1f1_gr_19700101-19791231.nc', 'tasmax_day_E3SM-1-0_historical_r1i1p1f1_gr_19800101-19891231.nc', 'tasmax_day_E3SM-1-0_historical_r1i1p1f1_gr_19900101-19991231.nc', 'tasmax_day_E3SM-1-0_historical_r1i1p1f1_gr_20000101-20091231.nc', 'tasmax_day_E3SM-1-0_historical_r1i1p1f1_gr_20100101-20141231.nc']"
E3SM-1-0,historical,r2i1p1f1,day,tasmax,gr,v20210913,17.0,"['tasmax_day_E3SM-1-0_historical_r2i1p1f1_gr_18500101-18591231.nc', 'tasmax_day_E3SM-1-0_historical_r2i1p1f1_gr_18600101-18691231.nc', 'tasmax_day_E3SM-1-0_historical_r2i1p1f1_gr_18700101-18791231.nc', 'tasmax_day_E3SM-1-0_historical_r2i1p1f1_gr_18800101-18891231.nc', 'tasmax_day_E3SM-1-0_historical_r2i1p1f1_gr_18900101-18991231.nc', 'tasmax_day_E3SM-1-0_historical_r2i1p1f1_gr_19000101-19091231.nc', 'tasmax_day_E3SM-1-0_historical_r2i1p1f1_gr_19100101-19191231.nc', 'tasmax_day_E3SM-1-0_historical_r2i1p1f1_gr_19200101-19291231.nc', 'tasmax_day_E3SM-1-0_historical_r2i1p1f1_gr_19300101-19391231.nc', 'tasmax_day_E3SM-1-0_historical_r2i1p1f1_gr_19400101-19491231.nc', 'tasmax_day_E3SM-1-0_historical_r2i1p1f1_gr_19500101-19591231.nc', 'tasmax_day_E3SM-1-0_historical_r2i1p1f1_gr_19600101-19691231.nc', 'tasmax_day_E3SM-1-0_historical_r2i1p1f1_gr_19700101-19791231.nc', 'tasmax_day_E3SM-1-0_historical_r2i1p1f1_gr_19800101-19891231.nc', 'tasmax_day_E3SM-1-0_historical_r2i1p1f1_gr_19900101-19991231.nc', 'tasmax_day_E3SM-1-0_historical_r2i1p1f1_gr_20000101-20091231.nc', 'tasmax_day_E3SM-1-0_historical_r2i1p1f1_gr_20100101-20141231.nc']"
E3SM-1-0,historical,r3i1p1f1,day,tasmax,gr,v20210910,17.0,"['tasmax_day_E3SM-1-0_historical_r3i1p1f1_gr_18500101-18591231.nc', 'tasmax_day_E3SM-1-0_historical_r3i1p1f1_gr_18600101-18691231.nc', 'tasmax_day_E3SM-1-0_historical_r3i1p1f1_gr_18700101-18791231.nc', 'tasmax_day_E3SM-1-0_historical_r3i1p1f1_gr_18800101-18891231.nc', 'tasmax_day_E3SM-1-0_historical_r3i1p1f1_gr_18900101-18991231.nc', 'tasmax_day_E3SM-1-0_historical_r3i1p1f1_gr_19000101-19091231.nc', 'tasmax_day_E3SM-1-0_historical_r3i1p1f1_gr_19100101-19191231.nc', 'tasmax_day_E3SM-1-0_historical_r3i1p1f1_gr_19200101-19291231.nc', 'tasmax_day_E3SM-1-0_historical_r3i1p1f1_gr_19300101-19391231.nc', 'tasmax_day_E3SM-1-0_historical_r3i1p1f1_gr_19400101-19491231.nc', 'tasmax_day_E3SM-1-0_historical_r3i1p1f1_gr_19500101-19591231.nc', 'tasmax_day_E3SM-1-0_historical_r3i1p1f1_gr_19600101-19691231.nc', 'tasmax_day_E3SM-1-0_historical_r3i1p1f1_gr_19700101-19791231.nc', 'tasmax_day_E3SM-1-0_historical_r3i1p1f1_gr_19800101-19891231.nc', 'tasmax_day_E3SM-1-0_historical_r3i1p1f1_gr_19900101-19991231.nc', 'tasmax_day_E3SM-1-0_historical_r3i1p1f1_gr_20000101-20091231.nc', 'tasmax_day_E3SM-1-0_historical_r3i1p1f1_gr_20100101-20141231.nc']"
E3SM-1-0,historical,r4i1p1f1,day,tasmax,gr,v20210910,17.0,"['tasmax_day_E3SM-1-0_historical_r4i1p1f1_gr_18500101-18591231.nc', 'tasmax_day_E3SM-1-0_historical_r4i1p1f1_gr_18600101-18691231.nc', 'tasmax_day_E3SM-1-0_historical_r4i1p1f1_gr_18700101-18791231.nc', 'tasmax_day_E3SM-1-0_historical_r4i1p1f1_gr_18800101-18891231.nc', 'tasmax_day_E3SM-1-0_historical_r4i1p1f1_gr_18900101-18991231.nc', 'tasmax_day_E3SM-1-0_historical_r4i1p1f1_gr_19000101-19091231.nc', 'tasmax_day_E3SM-1-0_historical_r4i1p1f1_gr_19100101-19191231.nc', 'tasmax_day_E3SM-1-0_historical_r4i1p1f1_gr_19200101-19291231.nc', 'tasmax_day_E3SM-1-0_historical_r4i1p1f1_gr_19300101-19391231.nc', 'tasmax_day_E3SM-1-0_historical_r4i1p1f1_gr_19400101-19491231.nc', 'tasmax_day_E3SM-1-0_historical_r4i1p1f1_gr_19500101-19591231.nc', 'tasmax_day_E3SM-1-0_historical_r4i1p1f1_gr_19600101-19691231.nc', 'tasmax_day_E3SM-1-0_historical_r4i1p1f1_gr_19700101-19791231.nc', 'tasmax_day_E3SM-1-0_historical_r4i1p1f1_gr_19800101-19891231.nc', 'tasmax_day_E3SM-1-0_historical_r4i1p1f1_gr_19900101-19991231.nc', 'tasmax_day_E3SM-1-0_historical_r4i1p1f1_gr_20000101-20091231.nc', 'tasmax_day_E3SM-1-0_historical_r4i1p1f1_gr_20100101-20141231.nc']"
E3SM-1-0,historical,r5i1p1f1,day,tasmax,gr,v20210910,17.0,"['tasmax_day_E3SM-1-0_historical_r5i1p1f1_gr_18500101-18591231.nc', 'tasmax_day_E3SM-1-0_historical_r5i1p1f1_gr_18600101-18691231.nc', 'tasmax_day_E3SM-1-0_historical_r5i1p1f1_gr_18700101-18791231.nc', 'tasmax_day_E3SM-1-0_historical_r5i1p1f1_gr_18800101-18891231.nc', 'tasmax_day_E3SM-1-0_historical_r5i1p1f1_gr_18900101-18991231.nc', 'tasmax_day_E3SM-1-0_historical_r5i1p1f1_gr_19000101-19091231.nc', 'tasmax_day_E3SM-1-0_historical_r5i1p1f1_gr_19100101-19191231.nc', 'tasmax_day_E3SM-1-0_historical_r5i1p1f1_gr_19200101-19291231.nc', 'tasmax_day_E3SM-1-0_historical_r5i1p1f1_gr_19300101-19391231.nc', 'tasmax_day_E3SM-1-0_historical_r5i1p1f1_gr_19400101-19491231.nc', 'tasmax_day_E3SM-1-0_historical_r5i1p1f1_gr_19500101-19591231.nc', 'tasmax_day_E3SM-1-0_historical_r5i1p1f1_gr_19600101-19691231.nc', 'tasmax_day_E3SM-1-0_historical_r5i1p1f1_gr_19700101-19791231.nc', 'tasmax_day_E3SM-1-0_historical_r5i1p1f1_gr_19800101-19891231.nc', 'tasmax_day_E3SM-1-0_historical_r5i1p1f1_gr_19900101-19991231.nc', 'tasmax_day_E3SM-1-0_historical_r5i1p1f1_gr_20000101-20091231.nc', 'tasmax_day_E3SM-1-0_historical_r5i1p1f1_gr_20100101-20141231.nc']"
E3SM-1-0,historical,r1i1p1f1,Amon,tasmin,,,,
E3SM-1-0,historical,r2i1p1f1,Amon,tasmin,,,,
E3SM-1-0,historical,r3i1p1f1,Amon,tasmin,,,,
E3SM-1-0,historical,r4i1p1f1,Amon,tasmin,,,,
E3SM-1-0,historical,r5i1p1f1,Amon,tasmin,,,,
E3SM-1-0,historical,r1i1p1f1,day,tasmin,gr,v20210908,17.0,"['tasmin_day_E3SM-1-0_historical_r1i1p1f1_gr_18500101-18591231.nc', 'tasmin_day_E3SM-1-0_historical_r1i1p1f1_gr_18600101-18691231.nc', 'tasmin_day_E3SM-1-0_historical_r1i1p1f1_gr_18700101-18791231.nc', 'tasmin_day_E3SM-1-0_historical_r1i1p1f1_gr_18800101-18891231.nc', 'tasmin_day_E3SM-1-0_historical_r1i1p1f1_gr_18900101-18991231.nc', 'tasmin_day_E3SM-1-0_historical_r1i1p1f1_gr_19000101-19091231.nc', 'tasmin_day_E3SM-1-0_historical_r1i1p1f1_gr_19100101-19191231.nc', 'tasmin_day_E3SM-1-0_historical_r1i1p1f1_gr_19200101-19291231.nc', 'tasmin_day_E3SM-1-0_historical_r1i1p1f1_gr_19300101-19391231.nc', 'tasmin_day_E3SM-1-0_historical_r1i1p1f1_gr_19400101-19491231.nc', 'tasmin_day_E3SM-1-0_historical_r1i1p1f1_gr_19500101-19591231.nc', 'tasmin_day_E3SM-1-0_historical_r1i1p1f1_gr_19600101-19691231.nc', 'tasmin_day_E3SM-1-0_historical_r1i1p1f1_gr_19700101-19791231.nc', 'tasmin_day_E3SM-1-0_historical_r1i1p1f1_gr_19800101-19891231.nc', 'tasmin_day_E3SM-1-0_historical_r1i1p1f1_gr_19900101-19991231.nc', 'tasmin_day_E3SM-1-0_historical_r1i1p1f1_gr_20000101-20091231.nc', 'tasmin_day_E3SM-1-0_historical_r1i1p1f1_gr_20100101-20141231.nc']"
E3SM-1-0,historical,r2i1p1f1,day,tasmin,gr,v20210913,17.0,"['tasmin_day_E3SM-1-0_historical_r2i1p1f1_gr_18500101-18591231.nc', 'tasmin_day_E3SM-1-0_historical_r2i1p1f1_gr_18600101-18691231.nc', 'tasmin_day_E3SM-1-0_historical_r2i1p1f1_gr_18700101-18791231.nc', 'tasmin_day_E3SM-1-0_historical_r2i1p1f1_gr_18800101-18891231.nc', 'tasmin_day_E3SM-1-0_historical_r2i1p1f1_gr_18900101-18991231.nc', 'tasmin_day_E3SM-1-0_historical_r2i1p1f1_gr_19000101-19091231.nc', 'tasmin_day_E3SM-1-0_historical_r2i1p1f1_gr_19100101-19191231.nc', 'tasmin_day_E3SM-1-0_historical_r2i1p1f1_gr_19200101-19291231.nc', 'tasmin_day_E3SM-1-0_historical_r2i1p1f1_gr_19300101-19391231.nc', 'tasmin_day_E3SM-1-0_historical_r2i1p1f1_gr_19400101-19491231.nc', 'tasmin_day_E3SM-1-0_historical_r2i1p1f1_gr_19500101-19591231.nc', 'tasmin_day_E3SM-1-0_historical_r2i1p1f1_gr_19600101-19691231.nc', 'tasmin_day_E3SM-1-0_historical_r2i1p1f1_gr_19700101-19791231.nc', 'tasmin_day_E3SM-1-0_historical_r2i1p1f1_gr_19800101-19891231.nc', 'tasmin_day_E3SM-1-0_historical_r2i1p1f1_gr_19900101-19991231.nc', 'tasmin_day_E3SM-1-0_historical_r2i1p1f1_gr_20000101-20091231.nc', 'tasmin_day_E3SM-1-0_historical_r2i1p1f1_gr_20100101-20141231.nc']"
