model,scenario,variant,frequency,variable,grid_type,version,filename,start_year,start_month,start_day,end_year,end_month,end_day
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_195001010600-195101010000.nc,1950,1,1,1951,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_195101010600-195201010000.nc,1951,1,1,1952,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_195201010600-195301010000.nc,1952,1,1,1953,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_195301010600-195401010000.nc,1953,1,1,1954,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_195401010600-195501010000.nc,1954,1,1,1955,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_195501010600-195601010000.nc,1955,1,1,1956,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_195601010600-195701010000.nc,1956,1,1,1957,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_195701010600-195801010000.nc,1957,1,1,1958,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_195801010600-195901010000.nc,1958,1,1,1959,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_195901010600-196001010000.nc,1959,1,1,1960,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_196001010600-196101010000.nc,1960,1,1,1961,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_196101010600-196201010000.nc,1961,1,1,1962,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_196201010600-196301010000.nc,1962,1,1,1963,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_196301010600-196401010000.nc,1963,1,1,1964,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_196401010600-196501010000.nc,1964,1,1,1965,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_196501010600-196601010000.nc,1965,1,1,1966,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_196601010600-196701010000.nc,1966,1,1,1967,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_196701010600-196801010000.nc,1967,1,1,1968,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_196801010600-196901010000.nc,1968,1,1,1969,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_196901010600-197001010000.nc,1969,1,1,1970,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_197001010600-197101010000.nc,1970,1,1,1971,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_197101010600-197201010000.nc,1971,1,1,1972,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_197201010600-197301010000.nc,1972,1,1,1973,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_197301010600-197401010000.nc,1973,1,1,1974,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_197401010600-197501010000.nc,1974,1,1,1975,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_197501010600-197601010000.nc,1975,1,1,1976,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_197601010600-197701010000.nc,1976,1,1,1977,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_197701010600-197801010000.nc,1977,1,1,1978,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_197801010600-197901010000.nc,1978,1,1,1979,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_197901010600-198001010000.nc,1979,1,1,1980,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_198001010600-198101010000.nc,1980,1,1,1981,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_198101010600-198201010000.nc,1981,1,1,1982,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_198201010600-198301010000.nc,1982,1,1,1983,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_198301010600-198401010000.nc,1983,1,1,1984,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_198401010600-198501010000.nc,1984,1,1,1985,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_198501010600-198601010000.nc,1985,1,1,1986,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_198601010600-198701010000.nc,1986,1,1,1987,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_198701010600-198801010000.nc,1987,1,1,1988,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_198801010600-198901010000.nc,1988,1,1,1989,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_198901010600-199001010000.nc,1989,1,1,1990,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_199001010600-199101010000.nc,1990,1,1,1991,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_199101010600-199201010000.nc,1991,1,1,1992,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_199201010600-199301010000.nc,1992,1,1,1993,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_199301010600-199401010000.nc,1993,1,1,1994,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_199401010600-199501010000.nc,1994,1,1,1995,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_199501010600-199601010000.nc,1995,1,1,1996,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_199601010600-199701010000.nc,1996,1,1,1997,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_199701010600-199801010000.nc,1997,1,1,1998,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_199801010600-199901010000.nc,1998,1,1,1999,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_199901010600-200001010000.nc,1999,1,1,2000,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_200001010600-200101010000.nc,2000,1,1,2001,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_200101010600-200201010000.nc,2001,1,1,2002,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_200201010600-200301010000.nc,2002,1,1,2003,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_200301010600-200401010000.nc,2003,1,1,2004,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_200401010600-200501010000.nc,2004,1,1,2005,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_200501010600-200601010000.nc,2005,1,1,2006,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_200601010600-200701010000.nc,2006,1,1,2007,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_200701010600-200801010000.nc,2007,1,1,2008,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_200801010600-200901010000.nc,2008,1,1,2009,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_200901010600-201001010000.nc,2009,1,1,2010,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_201001010600-201101010000.nc,2010,1,1,2011,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_201101010600-201201010000.nc,2011,1,1,2012,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_201201010600-201301010000.nc,2012,1,1,2013,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_201301010600-201401010000.nc,2013,1,1,2014,1,1
CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,ta,gr,v20191021,ta_6hrPlevPt_CNRM-CM6-1-HR_historical_r1i1p1f2_gr_201401010600-201501010000.nc,2014,1,1,2015,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_201501010600-201601010000.nc,2015,1,1,2016,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_201601010600-201701010000.nc,2016,1,1,2017,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_201701010600-201801010000.nc,2017,1,1,2018,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_201801010600-201901010000.nc,2018,1,1,2019,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_201901010600-202001010000.nc,2019,1,1,2020,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_202001010600-202101010000.nc,2020,1,1,2021,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_202101010600-202201010000.nc,2021,1,1,2022,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_202201010600-202301010000.nc,2022,1,1,2023,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_202301010600-202401010000.nc,2023,1,1,2024,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_202401010600-202501010000.nc,2024,1,1,2025,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_202501010600-202601010000.nc,2025,1,1,2026,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_202601010600-202701010000.nc,2026,1,1,2027,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_202701010600-202801010000.nc,2027,1,1,2028,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_202801010600-202901010000.nc,2028,1,1,2029,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_202901010600-203001010000.nc,2029,1,1,2030,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_203001010600-203101010000.nc,2030,1,1,2031,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_203101010600-203201010000.nc,2031,1,1,2032,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_203201010600-203301010000.nc,2032,1,1,2033,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_203301010600-203401010000.nc,2033,1,1,2034,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_203401010600-203501010000.nc,2034,1,1,2035,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_203501010600-203601010000.nc,2035,1,1,2036,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_203601010600-203701010000.nc,2036,1,1,2037,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_203701010600-203801010000.nc,2037,1,1,2038,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_203801010600-203901010000.nc,2038,1,1,2039,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_203901010600-204001010000.nc,2039,1,1,2040,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_204001010600-204101010000.nc,2040,1,1,2041,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_204101010600-204201010000.nc,2041,1,1,2042,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_204201010600-204301010000.nc,2042,1,1,2043,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_204301010600-204401010000.nc,2043,1,1,2044,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_204401010600-204501010000.nc,2044,1,1,2045,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_204501010600-204601010000.nc,2045,1,1,2046,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_204601010600-204701010000.nc,2046,1,1,2047,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_204701010600-204801010000.nc,2047,1,1,2048,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_204801010600-204901010000.nc,2048,1,1,2049,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_204901010600-205001010000.nc,2049,1,1,2050,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_205001010600-205101010000.nc,2050,1,1,2051,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_205101010600-205201010000.nc,2051,1,1,2052,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_205201010600-205301010000.nc,2052,1,1,2053,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_205301010600-205401010000.nc,2053,1,1,2054,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_205401010600-205501010000.nc,2054,1,1,2055,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_205501010600-205601010000.nc,2055,1,1,2056,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_205601010600-205701010000.nc,2056,1,1,2057,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_205701010600-205801010000.nc,2057,1,1,2058,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_205801010600-205901010000.nc,2058,1,1,2059,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_205901010600-206001010000.nc,2059,1,1,2060,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_206001010600-206101010000.nc,2060,1,1,2061,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_206101010600-206201010000.nc,2061,1,1,2062,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_206201010600-206301010000.nc,2062,1,1,2063,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_206301010600-206401010000.nc,2063,1,1,2064,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_206401010600-206501010000.nc,2064,1,1,2065,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_206501010600-206601010000.nc,2065,1,1,2066,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_206601010600-206701010000.nc,2066,1,1,2067,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_206701010600-206801010000.nc,2067,1,1,2068,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_206801010600-206901010000.nc,2068,1,1,2069,1,1
CNRM-CM6-1-HR,ssp126,r1i1p1f2,6hrPlevPt,ta,gr,v20200127,ta_6hrPlevPt_CNRM-CM6-1-HR_ssp126_r1i1p1f2_gr_206901010600-207001010000.nc,2069,1,1,2070,1,1
